debug1N1PB4:debug806FQS,initialized,0,,1604176726626
debug1N1PB4:debug806FQS,window_resize,0,"[1440, 732]",1604176726626
debug1N1PB4:debug806FQS,focus,159348,off,1604176885974
debug1N1PB4:debug806FQS,focus,12112,on,1604176898086
debug1N1PB4:debug806FQS,focus,977,off,1604176899063
debug1N1PB4:debug806FQS,focus,38561,on,1604176937624
debug1N1PB4:debug806FQS,focus,2123,off,1604176939747
debug1N1PB4:debug806FQS,focus,14083,on,1604176953830
debug1N1PB4:debug806FQS,focus,1898,off,1604176955728
debug1N1PB4:debug806FQS,focus,1934,on,1604176957662
debug1N1PB4:debug806FQS,focus,2047,off,1604176959709
debug1N1PB4:debug806FQS,focus,5155,on,1604176964864
debug1N1PB4:debug806FQS,focus,31668,off,1604176996532
debug1N1PB4:debug806FQS,focus,8796,on,1604177005328
debug1N1PB4:debug806FQS,focus,64000,off,1604177069328
debug1N1PB4:debug806FQS,focus,116795,on,1604177186123
debug1N1PB4:debug806FQS,focus,16017,off,1604177202140
debug1N1PB4:debug806FQS,focus,73487,on,1604177275627
debug1N1PB4:debug806FQS,focus,7445,off,1604177283072
debug1N1PB4:debug806FQS,focus,684,on,1604177283756
