debug8MR2HY:debug0ZSOHD,speechalternateregular_11,100
debug8MR2HY:debug0ZSOHD,speechalternateregular_10,0
debug8MR2HY:debug0ZSOHD,speechalternateregular_13,100
debug8MR2HY:debug0ZSOHD,speechalternateregular_12,0
debug8MR2HY:debug0ZSOHD,speechalternateregular_15,100
debug8MR2HY:debug0ZSOHD,speechalternateregular_14,0
debug8MR2HY:debug0ZSOHD,speechalternateregular_17,100
debug8MR2HY:debug0ZSOHD,speechalternateregular_16,0
debug8MR2HY:debug0ZSOHD,speechalternateregular_19,100
debug8MR2HY:debug0ZSOHD,speechalternateregular_18,0
debug8MR2HY:debug0ZSOHD,check,2
debug8MR2HY:debug0ZSOHD,motionalternateregular_3,100
debug8MR2HY:debug0ZSOHD,motionalternateregular_9,100
debug8MR2HY:debug0ZSOHD,motionalternateregular_8,0
debug8MR2HY:debug0ZSOHD,motionalternateregular_5,100
debug8MR2HY:debug0ZSOHD,motionalternateregular_4,0
debug8MR2HY:debug0ZSOHD,motionalternateregular_7,100
debug8MR2HY:debug0ZSOHD,motionalternateregular_6,0
debug8MR2HY:debug0ZSOHD,motionalternateregular_1,100
debug8MR2HY:debug0ZSOHD,condition,3
debug8MR2HY:debug0ZSOHD,motionalternateregular_2,0
debug8MR2HY:debug0ZSOHD,motionalternateregular_15,100
debug8MR2HY:debug0ZSOHD,motionalternateregular_14,0
debug8MR2HY:debug0ZSOHD,motionalternateregular_17,100
debug8MR2HY:debug0ZSOHD,motionalternateregular_16,0
debug8MR2HY:debug0ZSOHD,motionalternateregular_11,100
debug8MR2HY:debug0ZSOHD,motionalternateregular_10,0
debug8MR2HY:debug0ZSOHD,motionalternateregular_13,100
debug8MR2HY:debug0ZSOHD,motionalternateregular_12,0
debug8MR2HY:debug0ZSOHD,gender,female
debug8MR2HY:debug0ZSOHD,age,66
debug8MR2HY:debug0ZSOHD,motionalternateregular_19,100
debug8MR2HY:debug0ZSOHD,motionalternateregular_18,0
debug8MR2HY:debug0ZSOHD,speechalternateregular_1,100
debug8MR2HY:debug0ZSOHD,speechalternateregular_3,100
debug8MR2HY:debug0ZSOHD,speechalternateregular_2,0
debug8MR2HY:debug0ZSOHD,speechalternateregular_5,100
debug8MR2HY:debug0ZSOHD,speechalternateregular_4,0
debug8MR2HY:debug0ZSOHD,speechalternateregular_7,100
debug8MR2HY:debug0ZSOHD,speechalternateregular_6,0
debug8MR2HY:debug0ZSOHD,speechalternateregular_9,100
debug8MR2HY:debug0ZSOHD,speechalternateregular_8,0
